year,letter,first_author,et_al,Accessed,method,species,country,local_modern_data,site,n_site,marine_riverine,hunter_gatherer,sedentary,midden_or_layer,num_specimens,num_layers,total_layers,num_edge,years_in_record,start_period,end_period,calibrated,main_question,Seasonality_Result,Notes,Reference
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,Fish Haul Creek,1,marine,,,NA,4,NA,NA,NA,NA,Stallings,Stallings,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,Merceneria merceneria,US-South Carolina,FALSE,Victoria Bluff,1,marine,,,NA,3,NA,NA,NA,NA,St. Catherines,St. Catherines,NA,Occupation Season,November to April,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,"Merceneria merceneria, Crassostrea virginica",US-North Carolina,FALSE,19 sites,1,marine,,,midden,785,96,NA,NA,NA,3000,400,FALSE,Occupation Season,November to April with some exceptions,"modern collection are mentioned but it is not clear where exactly they are from. They do not sound like they were from close to the sites. Also she indcates that these shells are november to april, so including winter. Why is that ignored in the conclusions?","Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,total length,Donax variabilis,US-Florida,TRUE,8SJ57,1,marine,NA,NA,midden,500,NA,NA,NA,NA,NA,NA,NA,Occupation Season,October-January,"seasonal data reinterpreted by Claassen from originally October, which it seems to be by 90%. I find that late-spring months are also (if not more than the winter months) represented","Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,NA,US-Georgia,FALSE,Ruckers Bottom,1,freshwater,,,midden,53,3,NA,NA,NA,Late Woodland,Late Woodland,NA,Occupation Season,Spring-Summer and Summer-Autumn,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Florida,TRUE,8SR143,1,marine,,,midden,3037,27,NA,NA,NA,Mississippian,Mississippian,NA,Occupation Season,Summer to Autumn,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,External pattern,Rangia cuneata,US-Florida,TRUE,8SR85,1,marine,,,midden,1783,16,NA,NA,NA,Deptford,Deptford,NA,Occupation Season,Summer to Autumn,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,NA,US-Ohio,FALSE,Dupont,1,freshwater,,,layer,53,8,NA,NA,NA,Late Archaic,Late Archaic,NA,Occupation Season,Summer-Autumn,,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Georgia,FALSE,St. Simons Island shell ring,1,marine,,,midden,40,NA,NA,NA,NA,Archaic Period,Archaic Period,NA,Occupation Season,winter-spring,"I say high-res because of thin sections, but it might not be","Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Georgia,FALSE,9CAM171,1,marine,,,midden,40,NA,NA,NA,NA,Middle Woodland,Middle Woodland,NA,Occupation Season,year-round,"I say high-res because of thin sections, but it might not be","Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Georgia,FALSE,9CAM117,1,marine,,,midden,121,NA,NA,NA,NA,Savannah,Protohistoric,NA,Occupation Season,year-round (Autumn emphasis),"I say high-res because of thin sections, but it might not be","Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1986,,Claassen,,TRUE,GI,NA,US-Ohio,FALSE,33Ha58,1,freshwater,,,layer,51,7,NA,NA,NA,Mississippian,Mississippian,NA,Occupation Season,year-round (Summer emphasis),,"Claassen, C., 1986. Shellfishing Seasons in the Prehistoric Southeastern United States. Am. Antiq. 51, 21–37."
1988,,Deith and Shackleton,,TRUE,d18O,"Cerastoderma glaucum, Cerithium vulgatum; Monodonta turbinata ",Greece,TRUE,Franchthi,1,marine,NA,NA,layer,121,43,245,1,NA,Final Palaolithic,Final Neolithic,NA,Occupation Season,year-round (varying emphases),,"Deith, M.R., Shackleton, N.J., 1988. Oxygen isotope analyses of marine molluscs from Franchthi Cave, in: Shackleton, J.C. (Ed.), Marine Molluscan Remains from Franchthi Cave: Fascicle 4, Excavations at Franchthi Cave, Greece. Indiana University Press Bloomington/Indianapolis, IN, pp. 133–156."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Rhode Island,NA,Narragansett N. Shore,1,marine,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Occupation Season,Late Spring - Early Autumn,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Massachusetts,NA,Wheeler's,1,marine,,,NA,NA,NA,NA,NA,NA,Middle Woodland,Middle Woodland,NA,Occupation Season,Late summer -  Autumn,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Massachusetts,NA,Morill Point,1,marine,,,NA,NA,NA,NA,NA,NA,Late Woodland,Late Woodland,NA,Occupation Season,Late summer -  Autumn,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Massachusetts,NA,Whittall,1,marine,,,NA,NA,NA,NA,NA,NA,Late Woodland,Late Woodland,NA,Occupation Season,Late summer -  Autumn,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Maine,NA,Knox,1,marine,,,NA,NA,NA,NA,NA,NA,2700,2700,FALSE,Occupation Season,May-December,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Maine,FALSE,Nahanada,1,marine,,,NA,NA,NA,NA,NA,NA,Late Woodland,Late Woodland,NA,Occupation Season,Mid-Summer to Autumn,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Maine,TRUE,Taylor,1,marine,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Occupation Season,Summer,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Merceneria merceneria,US-Rhode Island,NA,Potowomut Neck (3 sites),1,marine,,,NA,NA,NA,NA,NA,NA,Late Archaic,Late Woodland,NA,Occupation Season,Summer to Autumn,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Massachusetts,NA,Rosebush,1,marine,,,NA,NA,NA,NA,NA,NA,Middle Woodland,Middle Woodland,NA,Occupation Season,Winter to early Spring,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Mya arenaria,US-Massachusetts,NA,Three Snakes,1,marine,,,NA,NA,NA,NA,NA,NA,Middle Woodland,Middle Woodland,NA,Occupation Season,Winter to early Spring,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Merceneria merceneria,US-Massachusetts,NA,Cape Cod misc.,1,marine,,,NA,NA,NA,NA,NA,NA,Late Archaic,Late Woodland,NA,Occupation Season,Winter to Summer,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,"Merceneria merceneria, Mya arenaria",US-New York,FALSE,Sungic Midden,1,marine,,,NA,NA,NA,NA,NA,NA,Middle Woodland,Late Woodland,NA,Occupation Season,year-round,,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1989,,Lightfoot and Cerrato,,TRUE,GI,Merceneria merceneria,US-Rhode Island,TRUE,Greenwich Cove,1,marine,,,NA,NA,NA,NA,NA,NA,Late Archaic,Late Woodland,NA,Occupation Season,year-round (fewer in spring),,"Lightfoot, K.G., Cerrato, R.M., 1989. REGIONAL PATTERNS OF CLAM HARVESTING ALONG THE ATLANTIC COAST OF NORTH AMERICA. Archaeology of Eastern North America 17, 31–46."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN323.23,1,marine,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN323.21,1,marine,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN323.22,1,marine,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-April,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN274,1,marine,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-April,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN341,1,marine,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-August,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN288.52,1,marine,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-February,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN288.22,1,marine,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-February,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN410,1,marine,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-February,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN308.42,1,marine,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-July,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN390,1,marine,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-March,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI,Merceneria merceneria,US-New York,TRUE,Heny Ll.Manor,1,marine,NA,NA,NA,67,NA,NA,NA,NA,historic,historic,NA,Occupation Season,December-May,,"Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN288.42,1,marine,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-May,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN308.71,1,marine,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Occupation Season,December-May,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN308.33,1,marine,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,Occupation Season,February-April,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Massachusetts,TRUE,19BN308.11,1,marine,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Occupation Season,Feburary,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Pecten irradians,US-Massachusetts,TRUE,Huntington,1,marine,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,Occupation Season,June-July,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Pecten irradians,US-Massachusetts,TRUE,Nesson,1,marine,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,Occupation Season,June-July,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Rhode Island,FALSE,253B,1,marine,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,Occupation Season,June-November,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Rhode Island,FALSE,253A,1,marine,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,Occupation Season,June-November,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Merceneria merceneria,US-Rhode Island,FALSE,SU205,1,marine,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,Occupation Season,June-October,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI-highres,Pecten irradians,US-Massachusetts,TRUE,Nantucket,1,marine,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,Occupation Season,May-June,"I write high-res because of the individual analysis that was carried out. That said, how accurate and ""high-res"" the results are is another question.","Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI,Elliptio sp.,US-New York,TRUE,SuBi 677,1,freshwater,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,Occupation Season,May-September,,"Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI,Mya arenaria,US-Maine,TRUE,Kidder Point,1,marine,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,Occupation Season,multiple,,"Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI,Littorina littorina,US-Maine,FALSE,Sears Island,1,marine,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,Occupation Season,none,,"Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Claassen,,TRUE,GI,Merceneria merceneria,US-New York,TRUE,John Robinson,1,marine,NA,NA,NA,95,NA,NA,NA,NA,historic,historic,NA,Occupation Season,November to April,,"Claassen, C., 1990. THE SHELL SEASONALITY TECHNIQUE IN THE EASTERN UNITED STATES: A REPLY TO LIGHTFOOT AND CERRATO. Archaeology of Eastern North America 18, 75–87."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-C-28,1,marine,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Occupation Season,Autumn,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-C-30-A,1,marine,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Occupation Season,Autumn,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-C-8,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,autumn to spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Maryland,TRUE,18KE17,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Middle Woodland,Middle Woodland,NA,Occupation Season,Autumn-Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-D-9-2,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Middle Woodland,Middle Woodland,NA,Occupation Season,Autumn-Winter,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-A-1-1,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Early Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-C-1-1,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Early Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-C-1-2,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Early Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7K-F-17,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Early Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-C-1-3,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-C-5,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-D-30D,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Maryland,TRUE,18KE128,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Early Woodland,Early Woodland,NA,Occupation Season,Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-D-9-1,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Middle Woodland,Middle Woodland,NA,Occupation Season,Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
